ticker,cusip,issuer_name_2019q4
AAPL,037833100,APPLE INCORPORATED
MSFT,594918104,MICROSOFT CORPORATION
GOOGL,02079K305,ALPHABET INCCL A
AMZN,023135106,AMAZON COM INCORPORATED
META,30303M102,FACEBOOK INCORPORATED CLASS A
NVDA,67066G104,NVIDIA CORP
TSLA,88160R101,TESLA INC
AVGO,11135F101,BROADCOM LTD
ADBE,00724F101,ADOBE INC
CRM,79466L302,SALESFORCE COM INC
ORCL,68389X105,ORACLE CORP
CSCO,17275R102,CISCO SYSTEMS INCORPORATED
ACN,G1151C101,ACCENTURE PLC IRELAND
INTC,458140100,INTEL CORP
AMD,007903107,ADVANCED MICRO DEVICES INC
QCOM,747525103,QUALCOMM INC
TXN,882508104,TEXAS INSTRS INC
IBM,459200101,INTERNATIONAL BUSINESS MACHS
INTU,461202103,INTUIT
NOW,81762P102,SERVICENOW INC
JPM,46625H100,JPMORGAN CHASE & COMPANY
BAC,06055H202,BANK OF AMERICA 500 PERCENT DUE 09172024
WFC,949746101,WELLS FARGO CO NEW
GS,38141G104,GOLDMAN SACHS GROUP INC
MS,617446448,MORGAN STANLEY
C,172967424,CITIGROUP INC
AXP,025816109,AMERICAN EXPRESS CO
BLK,09247X101,BLACKROCK INC
SCHW,808513600,SCHWAB CHARLES CORP NEW DEP SH
SPGI,78409V104,S&P GLOBAL INC
V,92826C839,VISA INC
MA,57636Q104,MASTERCARD INC
PYPL,70450Y103,PAYPAL HOLDINGS INC
UNH,91324P102,UNITEDHEALTH GROUP INC
JNJ,478160104,JOHNSON & JOHNSON
LLY,532457108,LILLY ELI & CO
PFE,717081103,PFIZER INCORPORATED
MRK,58933Y105,MERCK & COMPANY INCORPORATED
ABBV,00287Y109,ABBVIE INC
TMO,883556102,THERMO FISHER SCIENTIFIC
ABT,002824100,ABBOTT LABORATORIES
DHR,235851102,DANAHER CORPORATION
BMY,110122108,BRISTOL MYERS SQUIBB CO
AMGN,031162100,AMGEN INC
CVS,126650100,CVS HEALTH CORP
HD,437076102,HOME DEPOT INCORPORATED
MCD,580135101,MCDONALDS CORP
NKE,654106103,NIKE INC
SBUX,855244109,STARBUCKS CORP
LOW,548661107,LOWES COS INC
TGT,87612E106,TARGET CORP
BKNG,09857L108,BOOKING HLDGS INC
TJX,872540109,TJX COS INC NEW
PG,742718109,PROCTER & GAMBLE
KO,191216100,COCA COLA COMPANY
PEP,713448108,PEPSICO
COST,22160K105,COSTCO WHOLESALE
WMT,931142103,WALMART INCORPORATED
MDLZ,609207105,MONDELEZ INTL INC
CL,194162103,COLGATE PALMOLIVE CO
MO,02209S103,ALTRIA GROUP INCORPORATED
PM,718172109,PHILIP MORRIS INTL INC
XOM,30231G102,EXXON MOBIL CORPORATION
CVX,166764100,CHEVRON CORPORATION NEW
COP,20825C104,CONOCOPHILLIPS
SLB,806857108,SCHLUMBERGER LTD
EOG,26875P101,EOG RESOURCES INC
BA,097023105,BOEING
CAT,149123101,CATERPILLAR INC DEL
GE,369604103,GENERAL ELECTRIC CO
HON,438516106,HONEYWELL INTERNATIONAL INC
UPS,911312106,UNITED PARCEL SERVICE INC
RTX,755111507,RAYTHEON
LMT,539830109,LOCKHEED MARTIN
DE,244199105,DEERE &CO
MMM,88579Y101,3M CO
UNP,907818108,UNION PACIFIC CORPORATION
DIS,254687AU0,WALT DISNEY CO
NFLX,64110L106,NETFLIX INC
CMCSA,20030N101,COMCAST CORPORATION NEW CLASS A
T,00206R102,AT&T INCORPORATED
VZ,92343V104,VERIZON COMMUNICATIONS INCORPORATED
TMUS,591708102,TMOBILE US
LIN,G5494J103,LINDE PLC
NEE,65339F101,NEXTERA ENERGY INC
DUK,26441C204,DUKE ENERGY CORP
SO,842587107,SOUTHERN COMPANY
AMT,03027x100,AMERICAN TOWER CORP
PLD,74340W103,PROLOGIS COM
SPG,SPG1C0150,SIMON PROPERTY GROUP INC
